,index,Unnamed: 0,poems,our_summary,ground_summaries
1164,1175,1175,"Out of the church she followed them
With a lofty step and mien:
His bride was like a village maid,
Maude Clare was like a queen.

“Son Thomas, ” his lady mother said,
With smiles, almost with tears:
“May Nell and you but live as true
As we have done for years;

“Your father thirty years ago
Had just your tale to tell;
But he was not so pale as you,
Nor I so pale as Nell.”

My lord was pale with inward strife,
And Nell was pale with pride;
My lord gazed long on pale Maude Clare
Or ever he kissed the bride.

“Lo, I have brought my gift, my lord,
Have brought my gift, ” she said:
To bless the hearth, to bless the board,
To bless the marriage-bed.

“Here’s my half of the golden chain
You wore about your neck,
That day we waded ankle-deep
For lilies in the beck:

“Here’s my half of the faded leaves
We plucked from the budding bough,
With feet amongst the lily leaves, -
The lilies are budding now.”

He strove to match her scorn with scorn,
He faltered in his place:
“Lady, ” he said, - “Maude Clare, ” he said, -
“Maude Clare, ” – and hid his face.

She turn’d to Nell: “My Lady Nell,
I have a gift for you;
Though, were it fruit, the blooms were gone,
Or, were it flowers, the dew.

“Take my share of a fickle heart,
Mine of a paltry love:
Take it or leave it as you will,
I wash my hands thereof.”

“And what you leave, ” said Nell, “I’ll take,
And what you spurn, I’ll wear;
For he’s my lord for better and worse,
And him I love Maude Clare.

“Yea, though you’re taller by the head,
More wise and much more fair:
I’ll love him till he loves me best,
Me best of all Maude Clare.","“Son Thomas, ” his lady mother said, With smiles, almost with tears","As a form of literature, poetry is an art form that can go into incredible detail to tell stories and share experiences in a way that can be both relatable and completely detached from the reader. A poet is a storyteller in many ways, and Christina Rossetti takes this role very literally in Maude Clare, combining the two forms into a poem that incorporates setting, style, and multiple characters alongside typical poetic conventions. The limitation of using a poem to tell a story, of course, is in the stylistic limitations of the form; Rossetti needs to choose her words carefully and make each line impactful to convey as much story as she can in these short verses, and yet she does so extremely well. Another interesting point of Maude Clare is that it offers insight into the time from which it was written. Rossetti lived during the latter half of the nineteenth century in England, and she was a very popular poet of her time. Such a poem as this one, therefore, serves as a unique gateway into a time period long passed and provides the reader with insight into the values, movements, and ideals of its time. In all, Maude Clare is a uniquely interesting work with both an interesting story and a historic context that helps it to stand out from Rossetti’s many famous works."
1165,1176,1176,"Father, when he passed on,
left dust
on a table of papers,
left debts and daughters,
a bedwetting grandson
named by the toss
of a coin after him,
a house that leaned
slowly through our growing
years on a bent coconut
tree in the yard.
Being the burning type,
he burned properly
at the cremation
as before, easily
and at both ends,
left his eye coins
in the ashes that didn't
look one bit different,
several spinal discs, rough,
some burned to coal, for sons
to pick gingerly
and throw as the priest
said, facing east
where three rivers met
near the railway station;
no longstanding headstone
with his full name and two dates
to holdin their parentheses
everything he didn't quite
manage to do himself,
like his caesarian birth
in a brahmin ghetto
and his death by heartfailure in the fruit market.
But someone told me
he got two lines
in an inside column
of a Madras newspaper
sold by the kilo
exactly four weeks later
to streethawkers
who sell it in turn
to the small groceries
where I buy salt,
coriander,
and jaggery
in newspaper cones
that I usually read
for fun, and lately
in the hope of finding
these obituary lines.
And he left us
a changed mother
and more than
one annual ritual.","Father, when he passed on, left dust on a table of papers, left debt","'Obituary' by A.K. Ramanujan describes the aftermath of a father's death and all the things he left behind, physical and emotional. The poem begins with the speaker telling the reader that his father died. When he died, he left behind a lot. There are unless and meaningless things, like dust and old papers. But there are also memories and rituals which are going to last a lifetime. In the second half of the poem, the speaker describes how they cremated this father and threw his leftover bones into the river. He also speaks about something he learned but is yet to see with his own eyes. Apparently, his father left an obituary in a local paper. Now, the son is searching the most popular papers for it, hoping to see this other thing he left behind. The poem ends with an emphasis on the importance of the rituals that came from his father and are now established parts of family life."
1166,1177,1177,"Shall earth no more inspire thee,
Thou lonely dreamer now?
Since passion may not fire thee
Shall Nature cease to bow?
Thy mind is ever moving
In regions dark to thee;
Recall its useless roving—
Come back and dwell with me.
I know my mountain breezes
Enchant and soothe thee still—
I know my sunshine pleases
Despite thy wayward will.
When day with evening blending
Sinks from the summer sky,
I’ve seen thy spirit bending
In fond idolatry.
I’ve watched thee every hour;
I know my mighty sway,
I know my magic power
To drive thy griefs away.
Few hearts to mortals given
On earth so wildly pine;
Yet none would ask a heaven
More like this earth than thine.
Then let my winds caress thee;
Thy comrade let me be—
Since nought beside can bless thee,
Return and dwell with me.","'Shall earth no more inspire thee, Thou lonely dreamer now? Since","'Shall earth no more inspire thee' by Emily Brontë is made up of one person's impassioned plea to another. The speaker is asking her listener to return to worshiping and loving the earth. The poem begins with the speaker asking her listener if they are stuck in a dark place within their mind. She wants to know if they are no longer inspired to action by the beauties of the earth and are instead stuck in “lonely” contemplation. The speaker goes on to describe how things once were. She knows the love that the listener once held for the earth, and uses everything she can to get this person to emerge from their hiding place and once more “bow” before nature. The speaker makes clear, as the poem progresses, that she, the earth, is the only one who can appeal to the listener's emotions. Therefore, he/she should come back and “dwell” alongside and inside the warmth of the earth."
1167,1178,1178,"The curfew tolls the knell of parting day,
The lowing herd wind slowly o'er the lea,
The plowman homeward plods his weary way,
And leaves the world to darkness and to me.
Now fades the glimm'ring landscape on the sight,
And all the air a solemn stillness holds,
Save where the beetle wheels his droning flight,
And drowsy tinklings lull the distant folds;
Save that from yonder ivy-mantled tow'r
The moping owl does to the moon complain
Of such, as wand'ring near her secret bow'r,
Molest her ancient solitary reign.
Beneath those rugged elms, that yew-tree's shade,
Where heaves the turf in many a mould'ring heap,
Each in his narrow cell for ever laid,
The rude forefathers of the hamlet sleep.
The breezy call of incense-breathing Morn,
The swallow twitt'ring from the straw-built shed,
The cock's shrill clarion, or the echoing horn,
No more shall rouse them from their lowly bed.
For them no more the blazing hearth shall burn,
Or busy housewife ply her evening care:
No children run to lisp their sire's return,
Or climb his knees the envied kiss to share.
Oft did the harvest to their sickle yield,
Their furrow oft the stubborn glebe has broke;
How jocund did they drive their team afield!
How bow'd the woods beneath their sturdy stroke!
Let not Ambition mock their useful toil,
Their homely joys, and destiny obscure;
Nor Grandeur hear with a disdainful smile
The short and simple annals of the poor.
The boast of heraldry, the pomp of pow'r,
And all that beauty, all that wealth e'er gave,
Awaits alike th' inevitable hour.
The paths of glory lead but to the grave.
Nor you, ye proud, impute to these the fault,
If Mem'ry o'er their tomb no trophies raise,
Where thro' the long-drawn aisle and fretted vault
The pealing anthem swells the note of praise.
Can storied urn or animated bust
Back to its mansion call the fleeting breath?
Can Honour's voice provoke the silent dust,
Or Flatt'ry soothe the dull cold ear of Death?
Perhaps in this neglected spot is laid
Some heart once pregnant with celestial fire;
Hands, that the rod of empire might have sway'd,
Or wak'd to ecstasy the living lyre.
But Knowledge to their eyes her ample page
Rich with the spoils of time did ne'er unroll;
Chill Penury repress'd their noble rage,
And froze the genial current of the soul.
Full many a gem of purest ray serene,
The dark unfathom'd caves of ocean bear:
Full many a flow'r is born to blush unseen,
And waste its sweetness on the desert air.
Some village-Hampden, that with dauntless breast
The little tyrant of his fields withstood;
Some mute inglorious Milton here may rest,
Some Cromwell guiltless of his country's blood.
Th' applause of list'ning senates to command,
The threats of pain and ruin to despise,
To scatter plenty o'er a smiling land,
And read their hist'ry in a nation's eyes,
Their lot forbade: nor circumscrib'd alone
Their growing virtues, but their crimes confin'd;
Forbade to wade through slaughter to a throne,
And shut the gates of mercy on mankind,
The struggling pangs of conscious truth to hide,
To quench the blushes of ingenuous shame,
Or heap the shrine of Luxury and Pride
With incense kindled at the Muse's flame.
Far from the madding crowd's ignoble strife,
Their sober wishes never learn'd to stray;
Along the cool sequester'd vale of life
They kept the noiseless tenor of their way.
Yet ev'n these bones from insult to protect,
Some frail memorial still erected nigh,
With uncouth rhymes and shapeless sculpture deck'd,
Implores the passing tribute of a sigh.
Their name, their years, spelt by th' unletter'd muse,
The place of fame and elegy supply:
And many a holy text around she strews,
That teach the rustic moralist to die.
For who to dumb Forgetfulness a prey,
This pleasing anxious being e'er resign'd,
Left the warm precincts of the cheerful day,
Nor cast one longing, ling'ring look behind?
On some fond breast the parting soul relies,
Some pious drops the closing eye requires;
Ev'n from the tomb the voice of Nature cries,
Ev'n in our ashes live their wonted fires.
For thee, who mindful of th' unhonour'd Dead
Dost in these lines their artless tale relate;
If chance, by lonely contemplation led,
Some kindred spirit shall inquire thy fate,
Haply some hoary-headed swain may say,
""Oft have we seen him at the peep of dawn
Brushing with hasty steps the dews away
To meet the sun upon the upland lawn.
""There at the foot of yonder nodding beech
That wreathes its old fantastic roots so high,
His listless length at noontide would he stretch,
And pore upon the brook that babbles by.
""Hard by yon wood, now smiling as in scorn,
Mutt'ring his wayward fancies he would rove,
Now drooping, woeful wan, like one forlorn,
Or craz'd with care, or cross'd in hopeless love.
""One morn I miss'd him on the custom'd hill,
Along the heath and near his fav'rite tree;
Another came; nor yet beside the rill,
Nor up the lawn, nor at the wood was he;
""The next with dirges due in sad array
Slow thro' the church-way path we saw him borne.
Approach and read (for thou canst read) the lay,
Grav'd on the stone beneath yon aged thorn.""
THE EPITAPH
Here rests his head upon the lap of Earth
A youth to Fortune and to Fame unknown.
Fair Science frown'd not on his humble birth,
And Melancholy mark'd him for her own.
Large was his bounty, and his soul sincere,
Heav'n did a recompense as largely send:
He gave to Mis'ry all he had, a tear,
He gain'd from Heav'n ('twas all he wish'd) a friend.
No farther seek his merits to disclose,
Or draw his frailties from their dread abode,
(There they alike in trembling hope repose)
The bosom of his Father and his God.","The curfew tolls the knell of parting day, The low","Gray's “Elegy Written in a Country Churchyard,” presents the omniscient speaker who talks to the reader. First, he stands alone in a graveyard deep in thought. While there, he thinks about the dead people buried there. The graveyard referred to here is the graveyard of the church in Stoke Poges, Buckinghamshire. The speaker contemplates the end of human life throughout the poem. He remarks on the inevitability of death that every individual has to face. Besides mourning the loss of someone, the speaker in the elegy reminds the reader that all people will die one day. Death is an unavoidable and natural thing in everyone's life. When one dies today, tomorrow, a stranger will see the person's tombstone. Out of curiosity, he will ask about the person buried there to a villager. The villager will reply that he knew the man. He would add that he had seen him in various spots. Sometimes, he will also remark that he had stopped seeing the man one day, and then there was the tombstone. In the poem, Gray, the poet himself, writes the epitaph of his own. He says that his life is full of sadness and depression. However, he feels proud of his knowledge. He calls it incomparable. In addition to this, he says that 'No one is perfect in this world.' So, he asks the reader not to judge anyone in the graveyard. Each and every soul is different and takes rest for eternity in the graveyard. In conclusion, the poet, through the speaker, ends the elegy by saying that death is an inevitable event in this world. Also, he says that man's efforts and his struggles to succeed in life comes to an end in death. Thus, death conquers man regardless of his successes and/or failures in his endeavors during his life. To read the poem without analysis, click here. You can also read more poems by Thomas Gray."
1168,1179,1179,"There are fewer introductions
In plague years,
Hands held back, jocularity
No longer bellicose,
Even among men.
Breathing’s generally wary,
Labored, as they say, when
The end is at hand.
But this is the everyday intake
Of   the imperceptible life force,
Willed now, slow —
Well, just cautious
In inhabited air.
As for ongoing dialogue,
No longer an exuberant plosive
To make a point,
But a new squirreling of air space,
A new sense of  boundary.
Genghis Khan said the hand
Is the first thing one man gives
To another. Not in this war.
A gesture of  limited distance
Now suffices, a nod,
A minor smile or a hand
Slightly raised,
Not in search of   its counterpart,
Just a warning within
The acknowledgment to stand back.
Each beautiful stranger a barbarian
Breathing on the other side of the gate.",The hand is the first thing one man gives To another. Not in this war. A gesture,"Pandemania Daniel Halpern discusses the general lives of people living within a pandemic, focusing on how they interact with each other, and comparing this to how people normally act. He discovers that physical contact such as handshakes become a thing of the past, the uncertainty surrounding other people being a risk people are not willing to take in these new conditions. As much as this poem is about health risks, the focus of Pandemania is more so about human social behavior, pointing out fallacies and little changes that reflect the innate fear people have of becoming sick. Halpern concludes that a health pandemic changes people, making them more hostile to strangers and alienating others in their drive for perfect health."
1169,1180,1180,"I think I grow tensions
like flowers
in a wood where
nobody goes.

Each wound is perfect,
encloses itself in a tiny
imperceptible blossom,
making pain.

Pain is a flower like that one,
like this one,
like that one,
like this one.",I think I grow tensions like flowers in a wood where nobody goes. Each wound is,"'The Flower' by Robert Creeley meditates upon a full-bloomed, “patient flower” that symbolizes mindfulness and spiritual bliss. Creeley's poem is an awe-inspiring address to a flower. His poetic persona directly converses with it by investing it with human attributes. He reminds the flower of how it hunched up before spreading its petals. Then a time came when it bloomed fully. He connects himself to the full-grown flower and finds it quite inspiring to think about how the world looks at it. It makes him feel alive and honored. Lastly, the speaker creates a contrast between himself and the “patient flower.”"
1170,1181,1181,"Now it is almost night, from the bronzey soft sky

jugfull after jugfull of pure white liquid fire, bright white

tipples over and spills down,

and is gone

and gold-bronze flutters beat through the thick upper air.



And as the electric liquid pours out, sometimes

a still brighter white snake wriggles among it, spilled

and tumbling wriggling down the sky :

and then the heavens cackle with uncouth sounds.



And the rain won’t come, the rain refuses to come!



This is the electricity that man is supposed to have mastered

chained, subjugated to his own use!



supposed to!","The jugfull of pure white liquid fire, bright white tipples over an","With this poem, Storm in the Black Forest, author D.H. Lawrence uses the personal voice of a speaker to describe a storm in most vivid detail. This particular storm happens to be one that Lawrence saw while he was in the Black Forest (hence, the title) when he visited the forest in 1929, the year before he died. That reveals that this is one of the last poems and Lawrence ever wrote. The nature of Storm in the Black Forest is such that it makes the readers feel how truly vulnerable mankind is. The speaker in this poem does not claim to have any kind of control over nature. Rather, he scoffs at that idea and describes the storm in such a way as to make the readers feel that humanity is entirely at the mercies of nature. It is interesting, then, that he wrote this only a year before his death."
1171,1182,1182,"Beyond the cheat of Time, here where you died, you live;
You pace the garden walk, secure and sensitive;
You linger on the stair: Love’s lonely pulses leap!
The harpsichord is shaken, the dogs look up from sleep. Here, after all the years, you keep the heirdom still;
The youth and joy in you achieve their olden will,
Unbidden, undeterred, with waking sense adored;
And still the house is happy that hath so dear a lord.
To every inmate heart, confirmed in cheer you brought,
Your name is as a spell midway of speech and thought,
And to a wonted guest (not awestruck heretofore),
The sunshine that was you floods all the open door.", The sunshine that was you floods all the open door.</s,"'The Light of the House' by Louise Imogen Guiney describes the overwhelmingly positive impact the memory of a dead man has on the day to day functions of a home. The poem begins with the speaker talking directly to a man that has passed on from this life and returned to it in one form or another. The man was most likely her husband, and now that he has returned, he is able to walk all of his old paths and make her feel as she did while he was still alive. While the speaker describes the man as being ghost-like, but it is more likely that the idea of his continued existence is cheering the speaker. His good deeds, and happy nature live on in the house. They are so strong in fact all who come to visit are touched by them."
1172,1183,1183,"So Abram rose, and clave the wood, and went,
And took the fire with him, and a knife.
And as they sojourned both of them together,
Isaac the first-born spake and said, My Father,
Behold the preparations, fire and iron,
But where the lamb for this burnt-offering?
Then Abram bound the youth with belts and straps,
And builded parapets and trenches there,
And stretchèd forth the knife to slay his son.
When lo! an Angel called him out of heaven,
Saying, Lay not thy hand upon the lad,
Neither do anything to him, thy son.
Behold! Caught in a thicket by its horns,
A Ram. Offer the Ram of Pride instead.

But the old man would not so, but slew his son,
And half the seed of Europe, one by one.","Abram rose, and clave the wood, and went, And took the fire with","'The Parable of the Old Man and the Young' by Wilfred Owen is a parable that retells the story of Isaac and Abraham with a new twist ending. In the first lines of this poem, the speaker begins by describing the Biblical story of Abraham and Isaac. The former has been told to sacrifice his son. He builds a fire, gets the knife ready, and is prepared to kill him. An angel comes down and tells him that instead of killing his son he should kill “The Ram of Pride.” Abraham surprisingly refuses in this version of the story and kills his son “And half the seed of Europe, one by one.”"
1173,1184,1184,"WHAT does it mean? Tired, angry, and ill at ease,
No man, woman, or child alive could please
Me now. And yet I almost dare to laugh
Because I sit and frame an epitaph-
'Here lies all that no one loved of him
And that loved no one.' Then in a trice that whim
Has wearied. But, though I am like a river
At fall of evening when it seems that never
Has the sun lighted it or warmed it, while
Cross breezes cut the surface to a file,
This heart, some fraction of me, hapily
Floats through a window even now to a tree
Down in the misting, dim-lit, quiet vale;
Not like a pewit that returns to wail
For something it has lost, but like a dove
That slants unanswering to its home and love.
There I find my rest, and through the dusk air
Flies what yet lives in me. Beauty is there", 'Here lies all that no one loved of him And that loved no one'</s,"'Beauty' by Edward Thomas contains the poet's definition of what beauty is and how he encounters and experiences it in his life. The poem begins with the speaker asking what “it” means. He is trying to figure out the balance in his life and how beauty influences it. In the day to day annoyances of life he does not find any beauty. He often feels “Tired, angry and ill at ease.” The speaker is likely to look down on his own life and feel useless. This is a state that is remedied by taking a step back from his own depression and moving out into the natural world, at least mentally. There, he is able to leave behind his worries and feel like he is one with every other living thing."
1174,1185,1185,"I know not why, but it is true—it may,
In some way, be because he was a child
Of the fierce sun where I first wept and smiled—
I love the dark-browed Poe. His feverish day
Was spent in dreams inspired, that him beguiled,
When not along his path shone forth one ray
Of light, of hope, to guide him on the way,
That to earth's cares he might be reconciled.
Not one of all Columbia's tuneful choir
Has pitched his notes to such a matchless key
As Poe—the wizard of the Orphic lyre!
Not one has dreamed, has sung, such songs as he,
Who, like an echo came, an echo went,
Singing, back to his mother element.",I love the dark-browed Poe. His feverish day Was spent in dreams,"Edgar Allan Poe' by Timothy Thomas Fortune contains a speaker's praise for the works and life of the poet and short story writer Edgar Allan Poe. The poem begins with the speaker stating that he is from the same area as Poe. This is perhaps why he feels such an intimate connection to him. It is likely that the speaker and Timothy Thomas Fortune are one and the same, considering where they both spent most of their lives. The speaker professes to love Poe, even in the writer's darker moments. As the text continues the speaker's praise of Poe becomes more grandiose and romanticized. He celebrates the path Poe tried his best to walk during his lifetime and the skill of his song. The poem concludes with the speaker acknowledging that Poe is dead. His “echo” has returned from the world it originated from. Read more poetry by Timothy Thomas Fortune."
1175,1186,1186,"Seeds in a dry pod, tick, tick, tick, 
Tick, tick, tick, like mites in a quarrel— 
Faint iambics that the full breeze wakens— 
But the pine tree makes a symphony thereof. 
Triolets, villanelles, rondels, rondeaus, 
Ballades by the score with the same old thought: 
The snows and the roses of yesterday are vanished; 
And what is love but a rose that fades? 
Life all around me here in the village: 
Tragedy, comedy, valor and truth, 
Courage, constancy, heroism, failure— 
All in the loom, and oh what patterns! 
Woodlands, meadows, streams and rivers— 
Blind to all of it all my life long. 
Triolets, villanelles, rondels, rondeaus, 
Seeds in a dry pod, tick, tick, tick, 
Tick, tick, tick, what little iambics, 
While Homer and Whitman roared in the pines?", The pine tree makes a symphony thereof.</s,"Petit, the Poet' by Edgar Lee Masters is a skillful poem about writing poetry, its traditions, and those who break them. In this piece, Masters' speaker Petit, the poet, outlines through figurative language, what he dislikes about traditional poetry. He wrote it, just like everyone else, but now he knows that he's been blind. The styles that he lists in this text are just the ticking over of iambs, the quiet, pointless, repetitive thoughts that have become completely unoriginal. This is a world of writing that he doesn't want to belong to, but he knows he does."
1176,1187,1187,"I seemed to be drawn
to the center of myself
leaving the edges of me
in the hands of my wife
and I saw with the most amazing
clarity
so that I had not eyes but
sight,
and, rising and turning,
through my skin,
there was all around not the
shapes of things
but oh, at last, the",I seemed to be drawn to the center of myself leaving the edges of me in the hands of,"'The Death of Fred Clifton' by Lucille Clifton describes how a dead speaker leaves his worldly memories to his wife and explores unique spiritual experiences. The speaker of the poem, Fred Clifton, expresses his feelings after his spirit leaves the body. To be specific, through this poem, Lucille tries to imagine what her husband might have discovered after leaving her all alone. He does not even feel depressed by the fact that he cannot be with his wife. Rather, he seems to be drawn towards another attractive force. It pulls him so deep that he can see beyond the shapes or reflections and get to the core easily."
1177,1188,1188,"A mighty creature is the germ, 
Though smaller than the pachyderm. 
His customary dwelling place 
Is deep within the human race. 
His childish pride he often pleases 
By giving people strange diseases. 
Do you, my popet, feel infirm? 
You probably contain a germ","A mighty creature is the germ, Though smaller than the pachyderm. His custom","The Germ' by Ogden Nash is a clever and humorous poem about the main purpose of a germ. In the first four lines, the speaker discusses how “mighty” the tiny germ is. It has the power to live in tiny places and do great things. While it's not as big as a pachyderm, it's still impressive. The speaker also emphasizes that germs love to live in the human body. He speaks directly to the listener, a young child, in the second stanza. He asks this child if they feel “infirm.” This higher-level word is contrasted with the final line where the speaker says, if so, you “probably contain a germ.”"
1178,1189,1189,"With its cloud of skirmishers in advance,
With now the sound of a single shot snapping like a whip, and now an irregular volley,
The swarming ranks press on and on, the dense brigades press on,
Glittering dimly, toiling under the sun—the dust-cover'd men,
In columns rise and fall to the undulations of the ground,
With artillery interspers'd—the wheels rumble, the horses sweat,
As the army corps advances.","The swarming ranks press on and on, the dense brigades press on,","In the poem, 'An Army Corps on the March,' Walt Whitman paints a rather exhaustive and overworked image of the advancement of an army brigade. This free-verse poem depicts a Civil War scene. Whitman uses words like “toiling” and “dust cover'd men” to illustrate how much the soldiers were devoted for the sake of America. The spectator watches the corps march towards their victory as if it is inevitable. The overall tone of the poem is fatigued and exhausted, yet filled with a nationalistic vigor. The spectator views the war with a settled conviction that will keep going for a long time. That is why Whitman ends the piece with the statement, “As the army corps advances.”"
1179,1190,1190,"At last you're tired of this elderly world

Shepherdess O Eiffel Tower this morning the bridges are bleating

You're fed up living with antiquity

Even the automobiles are antiques
Religion alone remains entirely new religion
Remains as simple as an airport hangar

In all Europe only you O Christianism are not old
The most modern European Pope Pius X it's you
The windows watch and shame has sealed
The confessionals against you this morning
Flyers catalogs hoardings sing aloud
Here's poetry this morning and for prose you're reading the tabloids
Disposable paperbacks filled with crimes and police
Biographies of great men a thousand various titles

I saw a pretty street this morning I forgot the name
New and cleanly it was the sun's clarion
Executives laborers exquisite stenographers
Criss-cross Monday through Saturday four times daily
Three times every morning sirens groan
At the lunch hour a rabid bell barks
The lettering on the walls and billboards
the doorplates and posters twitters parakeet-style
I love the swank of that street
Situated in Paris between the rue Aumont-Thieville and the avenue des Ternes

Here's the young street and you're still a baby
Dressed by your mother in blue and white only
You're very pious and with your oldest friend Rene Dalize
Nothing is more fun than Masses and Litanies

It's nine o'clock the gaslight is low you leave your bed
You pray all night in the school chapel
Meanwhile an eternal adorable amethyst depth
Christ's flamboyant halo spins forever
Behold the beautiful lily of worship
Behold the red-haired torch inextinguishable
Behold the pale son and scarlet of the dolorous Mother
Behold the tree forever tufted with prayer
Behold the double gallows honor and eternity
Behold the six-pointed star
Behold the God who dies on Friday and rises on Sunday
Behold the Christ who flies higher than aviators
He holds the world's record for altitude

Christ pupil of the eye
Twentieth pupil of the centuries knows its stuff
And bird-changed this century like Jesus climbs the sky
Devils in the abyss look up to watch
They say this century mimics Simon Magus in Judea
It takes a thief to catch a thief they cry
Angels flutter around the pretty trapeze act
Icarus Enoch Elijah Apollonius of Tyana
Hover as close to the airplane as they can
Sometimes they give way to other men hauling the Eucharist
Priests eternally climbing the elevating Host
The plane descends at last its wings unfolded
bursts into a million swallows
Full speed come the crows the owls and falcons
From Africa ibis storks flamingoes
The Roc-bird famous with writers and poets
Glides Adam's skull the original head in its talons
The horizon screams an eagle pouncing
And from America there comes a hummingbird
From China sinuous peehees
Who have only one wing and who fly in couples
And here's a dove immaculate spirit
Escorted by lyre-bird and shimmery peacock

Phoenix the pyre the self-resurrected
Obscures everything ardently briefly with ash
The sirens abandon their perilous channels
Each one singing more beautifully arrives
Everyone eagle Phoenix Chinese peehees
Eager to befriend a machine that flies

You are walking in Paris alone inside a crowd
Herds of buses bellow and come too close
Love-anguish clutches your throat
You must never again be loved
In the Dark Ages you would have entered a monastery
You are ashamed to overhear yourself praying
You laugh at yourself and the laughter crackles like hellfire
The sparks gild the ground and background of your life
Your life is a painting in a dark museum
And sometimes you examine it closely

You are walking in Paris the women are bloodsoaked
It was and I have no wish to remember it was the end of beauty

In Chartres from her entourage of flames Our Lady beamed at me
The blood of your Sacred Heart drenched me in Montmartre
I'm sick of hearing blissful promises
The love I feel is a venereal disease
And the image possessing you in your pain your insomnia
Vanishes and it is always near you

And now you are on the Riviera
Under lemon trees that never stop blooming
You are boating with friends
One is from Nice one is from Menton two from La Turbie
We are staring terrified at giant squid
At fish the symbols of Jesus swimming through seaweed

You are in the garden at an inn outside of Prague
You are completely happy a rose is on the table
And instead of getting on with your short-story
You watch the rosebug sleeping in the rose's heart

Appalled you see yourself reproduced in the agates of Saint Vitus
You were sad near to death to see yourself there
You looked as bewildered as Lazarus
In the Jewish ghetto the clock runs backwards
And you go backwards also through a slow life
Climbing the Hradchen listening at nightfall
To Bohemian songs in the singing taverns

You in Marseilles among the watermelons

You in Coblenz at the Hotel Gigantic

You in Rome beneath a Japanese tree

You in Amsterdam with a girl you find pretty who is ugly
She's engaged to marry a student from Leyden
Where you can rent rooms in Latin Cubicula locanda
I remember spending three days there and three in Gouda

You are in Paris hauled before the magistrate
You are under arrest you are a criminal now

You went on sorrowful and giddy travels
Ignorant still of dishonesty and old age
Love afflicted you at twenty and again at thirty
I've lived like a fool and I've wasted my time
You dare not look at your hands I want to weep all the time
On you on the one I love on everything that frightened you

And now you are crying at the sight of refugees
Who believe in God who pray whose women nurse babies
The hall of the train station is filled with the refugee-smell
Like the Magi refugees believe in their star
They expect to find silver mines in the Argentine
And to return like kings to their abandoned countries
One family carries a red eiderdown you carry your heart
Eiderdown and dreams are equally fantastic

Some of the refugees stay on in Paris settling
Into slums on the rue des Rosiers or the rue des Ecouffes
I have seen them often at dusk they breathe at their doorways
They budge from home as reluctantly as chessmen
They are chiefly Jewish the women wear wigs
And haunt backrooms of little shops in little chairs

You're standing at the metal counter of some dive
Drinking wretched coffee where the wretched live

You are in a cavernous restaurant at night

These women are not evil they are used-up regretful
Each has tormented someone even the ugliest

She is the daughter of a police sergeant from Jersey

Her hands I'd never noticed are hard and cracked

My pity aches along the seams of her belly

I humble my mouth to her grotesque laughter

You're alone when morning comes
The milkmen jingle bottles in the street

Night beautiful courtesan the night withdraws
Fraudulent Ferdine or careful Leah

And you drink an alcohol as caustic as your life
Your life you drink as alcohol

You walk to Auteuil you want to go on foot to sleep
At home among your South Sea and Guinean fetishes
Christs of another shape another faith
Subordinate Christs of uncertain hopes

Goodbye Goodbye

Sun cut throated", A beautiful street in Paris is a beautiful street in Paris.</s,"'Zone' by Guillaume Apollinaire describes a walk through Paris that spans an entire day, from sunup to sunup. The poem begins with the speaker setting off on his journey at the start of a new day. The initial language gives the city, Paris, an anthropomorphized control over itself. The Eiffel Tower is a shepherd and the bridges sheep. The narrator walks through the streets of the town and as he travels he gets closer and closer to the side of life he has little experience of. He sees the women of the streets, and the poor refugees who, like the “Magi” are traveling on faith alone. Throughout the city, he sees sights that remind him of the convergence of birds and varied experiences he has had with women, positive and negative. He spends a substantial amount of time discussing prostitutes and the various cities in which he has encountered them. In the final lines, he reaches the end of his journey but is still full of “uncertain” feelings. He goes to sleep after stating that the sun will be decapitated by the land. It is beginning to rise, and appears like a head floating on the horizon. You can the full poem Zone here."
1180,1191,1191,"I saw you toss the kites on high
And blow the birds about the sky;
And all around I heard you pass,
Like ladies' skirts across the grass-
 O wind, a-blowing all day long! 5
 O wind, that sings so loud a song!
I saw the different things you did,
But always you yourself you hid.
I felt you push, I heard you call,
I could not see yourself at all- 10
 O wind, a-blowing all day long,
 O wind, that sings so loud a song!
O you that are so strong and cold,
O blower, are you young or old?
Are you a beast of field and tree, 15
Or just a stronger child than me?
 O wind, a-blowing all day long,
 O wind, that sings so loud a song!",I saw you toss the kites on high And blow the birds about the sky,"'The Wind' by Robert Louis Stevenson is a thoughtful children's poem about the wind. In the poem's first stanza, the speaker describes how he saw the wind tossing kites in the sky and blowing birds around. Despite being unable to physically see the wind, the speaker keeps tabs on it. He could feel it “push” and hear it “call.” In the final stanza, this speaker asks the wind several questions about its form. He wonders if it is a beast of the field or “just a stronger child than me.”"
