,poems,our_summary,ground_summaries
253,"I am trying to remember the lyrics of old songs
I’ve forgotten, mostly
I am trying to remember one-hit wonders, hymns,
and musicals like West Side Story.
Singing over and over what I can recall, I hum remnants on
buses and in the car.
I am so often alone these days with echoes of these old songs
and my ghosted lovers.
I am so often alone that I can almost hear it, can almost feel
the half-touch of others,
can almost taste the licked clean spine of the melody I’ve lost.
I remember the records rubbed with static and the needle
gathering dust.
I remember the taste of a mouth so sudden and still cold from
wintry gusts.
It seemed incredible then — a favorite song, a love found.
It wasn't, after all.
Days later, while vacuuming, the lyrics come without thinking.
Days later, I think I see my old lover in a café but don’t,
how pleasing
it was to think it was him, to finally sing that song.
This is the way of all amplitude: we need the brightness
to die some.
This is the way of love and music: it plays like a god and
then is done.
Do I feel better remembering, knowing for certain
what’s gone?","I am trying to remember the lyrics of old songs I’ve forgotten, mostly one-hit wonders, hymns, and musicals like West Side Story. I remember the taste of a mouth so sudden and still cold from                wintry gusts. It seemed incredible then — a favorite song, a love found.","'Blues for Almost forgotten Music' by Roxanne Beth Johnson uses remembering music as a metaphor for looking back over parts of a relationship. For Johnson, a happy relationship is like a 'musical' or 'hymn', the music is harmonious and great. Yet, just like music, relationships can be forgotten and fade over time. Johnson uses this idea of 'forgotten music' to discuss past relationships, their passion never fading, only being thought of less and less."
254,"From Wynyard's Gap the livelong day,
The livelong day,
We beat afoot the northward way
We had travelled times before.
The sun-blaze burning on our backs,
Our shoulders sticking to our packs,
By fosseway1, fields, and turnpike tracks
We skirted sad Sedge-Moor.

Full twenty miles we jaunted on,
We jaunted on, —
My fancy-man2, and jeering John,
And Mother Lee, and I.
And, as the sun drew down to west,
We climbed the toilsome Polden crest,
And saw, of landskip3 sights the best,
The inn that beamed thereby.

Ay, side by side
Through the Great Forest, Blackmoor4 wide,
And where the Parret ran.
We'd faced the gusts on Mendip ridge,
Had crossed the Yeo unhelped by bridge,
Been stung by every Marshwood midge5,
I and my fancy-man.

Lone inns we loved, my man and I,
My man and I;
'King's Stag', 'Windwhistle' high and dry,
'The Horse' on Hintock Green,
The cosy house at Wynyard's Gap,
'The Hut', renowned on Bredy Knap,
And many another wayside tap
Where folk might sit unseen.

O deadly day,
O deadly day! —
I teased my fancy man in play
And wanton idleness.
I walked alongside jeering John,
I laid his hand my waist upon;
I would not bend my glances on
My lover's dark distress.

Thus Poldon top at last we won,
At last we won,
And gained the inn at sink of sun
Far-famed as 'Marshal's Elm'.
Beneath us figured tor and lea,6
From Mendip to the western sea —
I doubt if any finer sight there be
Within this royal realm.

Inside the settle7 all a-row —
All four a-row
We sat, I next to John, to show
That he had wooed and won.
And then he took me on his knee,
And swore it was his turn to be
My favoured mate, and Mother Lee
Passed to my former one.

Then in a voice I had never heard,
I had never heard,
My only love to me: 'One word,
My lady, if you please!
Whose is the child you are like8 to bear? —
His? After all my months o' care?'
Gods knows 'twas not! But, O despair!
I nodded — still to tease.

Then he sprung, and with his knife —
And with his knife,
He let out jeering Johnny's life,
Yes; there at set of sun.
The slant ray through the window nigh
Gilded John's blood and glazing eye,
Ere scarcely Mother Lee and I
Knew that the deed was done.

The taverns tell the gloomy tale,
The gloomy tale,
How that at Ivel-Chester jail
My love, my sweetheart swung;
Though stained till now by no misdeed
Save one horse ta'en in time of need;
(Blue Jimmy stole right many a steed
Ere his last fling he flung.)

Thereaft I walked the world alone
Alone, alone!
On his death-day I gave my groan
And dropt his dead-born child.
'Twas nigh the jail, beneath a tree,
None tending me; for Mother Lee
Had died at Glaston,9 leaving me
Unfriended on the wild.

And in the night as I lay weak,
As I lay weak,
The leaves a-falling on my cheek,
The red moon low declined —
The ghost of him I'd die to kiss
Rose up and said: 'Ah, tell me this!
Was the child mine, or was it his?
Speak, that I my rest may find!'

O doubt but I told him then,
I told him then,
That I had kept me from all men
Since we joined lips and swore.
Whereat he smiled, and thinned away
As the wind stirred to call up day . . .
— 'Tis past! And here alone I stray
Haunting the Western Moor.","From Wynyard's Gap the livelong day, the live long day, we beat afoot the northward way. We climbed the toilsome Polden crest, and saw, of landskip3 sights the best, the inn that beamed thereby. Then he took me on his knee, and swore it was his turn to be my favoured mate, and Mother Lee's life was passed to my former one. But, O despair! But, still to tease, he sprung, and with his knife he sprung.","'A Trampwoman's Tragedy' by Thomas Hardy is a narrative poem that speaks on a number of avoidable deaths brought on by thoughtless teasing. The poem begins with the speaker describing a journey across England. She and three companions were walking through forests, over hills, and thoroughly enjoying the trip. It was a long and hard one, but they had one another. The most important relationship within the group is that between the speaker, the trampwoman, and her lover. These two had been together for a long time and the speaker decided to tease her lover. She did so by pretending that another traveler, Jeering John, had won her over. This progressed until her lover became enraged, demanded to know if she was carrying his child, and murdered Jeering John. His act of violence, and the speaker's acts of thoughtlessness, led to his death by hanging. The speaker miscarried her child and was left alone to wander the landscape. The only moment of peace comes when the ghost of the lover comes to her and finally receives the correct answer to his question. Yes, the baby was his. This allows him to depart to the next life."
255,"My long two-pointed ladder's sticking through a tree
Toward heaven still,
And there's a barrel that I didn't fill
Beside it, and there may be two or three
Apples I didn't pick upon some bough.
But I am done with apple-picking now.
Essence of winter sleep is on the night,
The scent of apples: I am drowsing off.
I cannot rub the strangeness from my sight
I got from looking through a pane of glass
I skimmed this morning from the drinking trough
And held against the world of hoary grass.
It melted, and I let it fall and break.
But I was well
Upon my way to sleep before it fell,
And I could tell
What form my dreaming was about to take.
Magnified apples appear and disappear,
Stem end and blossom end,
And every fleck of russet showing clear.
My instep arch not only keeps the ache,
It keeps the pressure of a ladder-round.
I feel the ladder sway as the boughs bend.
And I keep hearing from the cellar bin
The rumbling sound
Of load on load of apples coming in.
For I have had too much
Of apple-picking: I am overtired
Of the great harvest I myself desired.
There were ten thousand thousand fruit to touch,
Cherish in hand, lift down, and not let fall.
For all
That struck the earth,
No matter if not bruised or spiked with stubble,
Went surely to the cider-apple heap
As of no worth.
One can see what will trouble
This sleep of mine, whatever sleep it is.
Were he not gone,
The woodchuck could say whether it's like his
Long sleep, as I describe its coming on,
Or just some human sleep.","My long two-pointed ladder's sticking through a tree toward heaven still,ipient. There's a barrel that I didn't fill with apples, and there may be two or three that I did not pick. But I am done with apple-picking now. The scent of apples: I am drowsing off.","‘After Apple-Picking’ by Robert Frost begins with an apple-picker’s thoughts after a day of work. The poem goes on to explore themes of life and death. Having picked apples throughout the day, he is tired now. His day’s work is over, but the task of apple-picking is not yet complete. The speaker tells that his long ladder still stands ‘sticking through a tree’, rising high toward heaven. He seems to have left it there on purpose to do some more apple-picking later."
256,"In the licorice fields at Pontefract
My love and I did meet
And many a burdened licorice bush
Was blooming round our feet;
Red hair she had and golden skin,
Her sulky lips were shaped for sin,
Her sturdy legs were flannel-slack'd
The strongest legs in Pontefract.

The light and dangling licorice flowers
Gave off the sweetest smells;
From various black Victorian towers
The Sunday evening bells
Came pealing over dales and hills
And tanneries and silent mills
And lowly streets where country stops
And little shuttered corner shops.

She cast her blazing eyes on me
And plucked a licorice leaf;
I was her captive slave and she
My red-haired robber chief.
Oh love! for love I could not speak,
It left me winded, wilting, weak,
And held in brown arms strong and bare
And wound with flaming ropes of hair.","In the licorice fields at Pontefract my love and I did meet. Red hair she had and golden skin, sulky lips were shaped for sin. Her sturdy legs were flannel-slack'd. The Sunday evening bells pealing over dales and hills.","'The Licorice Fields at Pontefract' by John Betjeman is a direct, passionate, and descriptive poem about a red-haired woman a speaker met in Pontefract. The poem takes the reader into a speaker's memory. He recalls being in a liquorice, or “licorice,” field. There, he saw a woman who filled him with an immediate passion. The poem takes its time describing how she captured him with her eyes and red hair. There are also fulsome descriptions of the town and an only slightly misdescribed image of liquorice blooms."
257,"Oh, the charm of idle dreaming
Where the dappled shadows dance,
All the leafy aisles are teeming
With the lure of old romance!
 
Down into the forest dipping,
Deep and deeper as we go,
One might fancy dryads slipping
Where the white-stemmed birches grow.
 
Lurking gnome and freakish fairy
In the fern may peep and hide . . .
Sure their whispers low and airy
Ring us in on every side!
 
Saw you where the pines are rocking
Nymph’s white shoulder as she ran?
Lo, that music faint and mocking,
Is it not a pipe of Pan?
 
Hear you that elusive laughter
Of the hidden waterfall?
Nay, a satyr speeding after
Ivy-crowned bacchanal.
 
Far and farther as we wander
Sweeter shall our roaming be,
Come, for dim and winsome yonder
Lies the path to Arcady!","Oh, the charm of idle dreaming. The leafy aisles are teeming with romance. The path to Arcady is dim and winsome yonder. It's a long way to the end, but it's worth the journey. The book is published by Simon & Schuster.","'The Forest Path' by Lucy Maud Montgomery is a direct and beautiful poem about the natural world and how it should be celebrated. Throughout the lines of this piece, Montgomery's speaker describes a forest and the sights and sounds within it. Rather than directly depicting them, though, she uses Greek mythology to make the forest feel even more magical and otherworldly than it already does. This allows her to allude to Pan, dryads, gnomes, and more."
258,"As due by many titles I resign
Myself to thee, O God. First I was made
By Thee; and for Thee, and when I was decay’d
Thy blood bought that, the which before was Thine.
I am Thy son, made with Thyself to shine,
Thy servant, whose pains Thou hast still repaid,
Thy sheep, Thine image, and—till I betray’d
Myself—a temple of Thy Spirit divine.
Why doth the devil then usurp on me?
Why doth he steal, nay ravish, that’s Thy right?
Except Thou rise and for Thine own work fight,
O! I shall soon despair, when I shall see
That Thou lovest mankind well, yet wilt not choose me,
And Satan hates me, yet is loth to lose me.","As due by many titles I resign                Myself to thee, O God. First I was made                By Thee; and for Thee, and when I was decay’d                Thy blood bought that, the which before was Thine.                I am Thy son, made with Thyself to shine.                My sheep, Thine image, and—till I betray'd                My self—a temple of Thy Spirit divine.                And Satan hates me, yet is loth to lose me.","'Holy Sonnet II' by John Donne describes one speaker's concern that he won't be able to return to God's good graces. In the first lines of the poem, the speaker begins by describing how devoted he is to God and describing how he feels that God made him in his image. The speaker is dedicated to God, but he's lived a sinful life. This is something he's well aware of and which he's trying to atone for. But, he worries that he doesn't have enough time to escape Satan's grasp."
259,"Indeed indeed, I cannot tell,
Though I ponder on it well,
Which were easier to state,
All my love or all my hate.
Surely, surely, thou wilt trust me
When I say thou dost disgust me.
O, I hate thee with a hate
That would fain annihilate;
Yet sometimes against my will,
My dear friend, I love thee still.
It were treason to our love,
And a sin to God above,
One iota to abate
Of a pure impartial hate.","""I hate thee with a hate that would fain annihilate,"" he writes. ""Yet sometimes against my will, I love thee still"" ""It were treason to our love, and a sin to God above,"" he adds. ""One iota to abateOf a pure impartial hate""","In this poem, ‘Indeed, Indeed I cannot Tell,’ Henry David Thoreau manages to relate with almost every living human being. He communicates a feeling that is all too familiar for many people. He is confused about the feeling he is experiencing- so confused, in fact, that he doesn’t know whether it is love or hate. The feeling that Thoreau relates to this poem is one that most have felt when they have experienced the breaking off of a relationship. Thoreau expresses these feelings so articulately that readers can easily conclude the cause of this feeling."
260,"Lay down these words
Before your mind like rocks.
placed solid, by hands
In choice of place, set
Before the body of the mind
in space and time:
Solidity of bark, leaf, or wall
riprap of things:
Cobble of milky way,
straying planets,
These poems, people,
lost ponies with
Dragging saddles—
and rocky sure-foot trails.
The worlds like an endless
four-dimensional
Game of Go.
ants and pebbles
In the thin loam, each rock a word
a creek-washed stone
Granite: ingrained
with torment of fire and weight
Crystal and sediment linked hot
all change, in thoughts,
As well as things.","Lay down these words                Before your mind like rocks.                placed solid, by hands                In choice of place, set                Before the body of the mind.                Solidity of bark, leaf, or wall or wall of things:                Cobble of milky way,                straying planets,                These poems, people,                lost ponies with                Dragging saddles—                and rocky sure-foot trails.                The worlds like an endless four-dimensional game of Go.","'Riprap' by Gary Snyder describes the order of the world that includes everything, from the words we speak to an unnoticed cobble in a creek, In this poem, Snyder compares words to “riprap” – loose rocks which a person can assemble before them. The poem draws images of nature, showing how language and words can be controlled and placed in an organized manner. Riprap is often used as a foundation for a breakwater or other structures, which is why Snyder compares it to words, which form the foundation of human language, expressions, and eventually, of society."
261,"Stand still, and I will read to thee
A lecture, love, in love's philosophy.
These three hours that we have spent,
Walking here, two shadows went
Along with us, which we ourselves produc'd.
But, now the sun is just above our head,
We do those shadows tread,
And to brave clearness all things are reduc'd.
So whilst our infant loves did grow,
Disguises did, and shadows, flow
From us, and our cares; but now 'tis not so.
That love has not attain'd the high'st degree,
Which is still diligent lest others see.
Except our loves at this noon stay,
We shall new shadows make the other way.
As the first were made to blind
Others, these which come behind
Will work upon ourselves, and blind our eyes.
If our loves faint, and westwardly decline,
To me thou, falsely, thine,
And I to thee mine actions shall disguise.
The morning shadows wear away,
But these grow longer all the day;
But oh, love's day is short, if love decay.
Love is a growing, or full constant light,
And his first minute, after noon, is night.","Stand still, and I will read to thee a lecture, love, in love's philosophy. These three hours that we have spent,                Walking here, two shadows went along with us, which we ourselves produc'd. But, now the sun is just above our head,                We do those shadows tread,                And to brave clearness all things are reduced.","This poem is part of Songs and Sonnets, a collection of poems published two years after John Donne’s death. Songs and Sonnets includes 55 poems, which are not strictly “songs” or “sonnets”, that were not conceived as a compilation including ‘A Lecture upon the Shadow.’ They were written between 1590 and 1617 and later edited and grouped in different editions of Donne’s Poems. Consequently, the poems are all part of a love lyric but don’t always portray a single approach to love. Songs and Sonnets also includes poems like The Flea, The Good Morrow, and The Sun Rising, among others.

The poem narrates how a relationship that appeared to be blossoming has later deteriorated. Thus, love is one of the main themes of A Lecture upon the Shadow. John Donne is known for portraying intense emotions through conceits. A conceit is a metaphor that compares two dissimilar things in an unusual way. Particularly, in A Lecture upon the Shadow, the lyrical voice compares the different stages of a relationship to the course of a day and the movement of the sun.

A Lecture upon the Shadow follows the sonnet form loosely. The traditional sonnet is formed by an octave and a sestet with an ABBAABBA CDDCEE (or CDCDEE) rhyme scheme. The Shakespearean sonnet, which is contemporary to Donne’s poetry, is formed by three quatrains and a couplet in iambic pentameter with ABAB CDCD EFEF GG rhyme. A Lecture upon the Shadow has 26 lines in iambic pentameter with an AABBCDDCEEE rhyme scheme. The varying couplets and their rhyme resemble those of Shakespeare’s poetry. Moreover, the poem uses a great number of poetic devices such as alliteration, assonance, and extended metaphors."
262,"Oh! I have slipped the surly bonds of Earth
And danced the skies on laughter-silvered wings;
Sunward I've climbed, and joined the tumbling mirth
of sun-split clouds,—and done a hundred things
You have not dreamed of—wheeled and soared and swung
High in the sunlit silence. Hov'ring there,
I've chased the shouting wind along, and flung
My eager craft through footless halls of air ....

Up, up the long, delirious, burning blue
I've topped the wind-swept heights with easy grace
Where never lark nor ever eagle flew—
And, while with silent lifting mind I've trod
The high untrespassed sanctity of space,
Put out my hand, and touched the face of God.","Oh! I have slipped the surly bonds of Earth, and danced the skies on laughter-silvered wings;                Sunward I've climbed, and joined the tumbling mirth of sun-split clouds.                I've chased the shouting wind along, and flung my eager craft through footless halls of air.                Up, up the long, delirious, burning blue sky, where never lark nor ever eagle flew.","High Flight' by John Gillespie Magee is a moving depiction of what it is like to leave the earth and one's everyday life behind and fly. The bulk of 'High Flight' is spent depicting, through techniques such as alliteration, sibilance, and personification, the experience of flying. The speaker's descriptions are joyous and upliftings. He describes the sensations of being separated from the earth and in parts of the sky even birds don't enter into. The experience is all in all, a spiritual one that brings him closer to God."
263,"Those long uneven lines
Standing as patiently
As if they were stretched outside
The Oval or Villa Park,
The crowns of hats, the sun
On moustached archaic faces
Grinning as if it were all
An August Bank Holiday lark;

And the shut shops, the bleached
Established names on the sunblinds,
The farthings and sovereigns,
And dark-clothed children at play
Called after kings and queens,
The tin advertisements
For cocoa and twist, and the pubs
Wide open all day;

And the countryside not caring:
The place-names all hazed over
With flowering grasses, and fields
Shadowing Domesday lines
Under wheat’s restless silence;
The differently-dressed servants
With tiny rooms in huge houses,
The dust behind limousines;

Never such innocence,
Never before or since,
As changed itself to past
Without a word – the men
Leaving the gardens tidy,
The thousands of marriages,
Lasting a little while longer:
Never such innocence again.","Those long uneven lines                Standing as patiently                As if they were stretched outside                The Oval or Villa Park,                The crowns of hats, the sun                On moustached archaic faces.                Grinning as if it were all                An August Bank Holiday lark;                And the shut shops, the bleached                Established names on the sunblinds.                The farthings and sovereigns,                And dark-clothed children at play.                And tin advertisements                For cocoa and twist, and the pubs                Wide open all day;                The countryside not caring.","MCMXIV' by Philip Larkin is a war poem that focuses on the changes that came over England after the end of WWI. The poem begins with the poet focusing on a picture. Within it are men who have just signed up to fight in the war. Their faces make it clear that they have no idea what is about to happen to them. The narrative zooms out, taking the reader across the countryside and then to all of England. There are going to be so many changes in the coming years, the speaker says, everything is going to be different, and innocence is going to be lost."
264,"Swan in Falling Snow

Upon the darkish, thin, half-broken ice
There seemed to lie a barrel-sized, heart-shaped snowball,
Frozen hard, its white
identical with the untrodden white
of the lake shore. Closer, its somber face—
Mask and beak—came clear, the neck’s
Long cylinder, and the splayed feet, balanced,
Weary, immodbile. Black water traced, behind it,
An abandoned gesture. Soft in still air, snowflakes
Fell and fell. Silence
Deepened, deepened. The short day
Suspended itself, endless.",Swan in Falling Snow is a short story by American writer and poet Robert Frost. The story is set in a frozen lake and features a snow-capped Swan. The short story is about the Swan and his journey through the snow. The author also writes about his relationship with his wife.,"'Swan in Falling Snow' by Denise Levertov contains a description of a dead swan's body buried in the snow. Levertov's speaker talks about how he came across a swan's frozen body in the snow. The “barrel-sized” body of the creature easily captured his attention. He went near it to have a closer look. The scene made him feel sad for the creature. At the same time, it somehow aroused a sensation of awe in his heart. There was a resemblance between the frozen body and the untrodden snow near the shore. With close attention, he could notice its physical features clearly. In contrast to the stillness of the creature, nature went on at its own pace."
265,"I sat all morning in the college sick bay
Counting bells knelling classes to a close.
At two o'clock our neighbours drove me home.

In the porch I met my father crying—
He had always taken funerals in his stride—
And Big Jim Evans saying it was a hard blow.

The baby cooed and laughed and rocked the pram
When I came in, and I was embarrassed
By old men standing up to shake my hand

And tell me they were 'sorry for my trouble'.
Whispers informed strangers I was the eldest,
Away at school, as my mother held my hand

In hers and coughed out angry tearless sighs.
At ten o'clock the ambulance arrived
With the corpse, stanched and bandaged by the nurses.

Next morning I went up into the room. Snowdrops
And candles soothed the bedside; I saw him
For the first time in six weeks. Paler now,

Wearing a poppy bruise on his left temple,
He lay in the four-foot box as in his cot.
No gaudy scars, the bumper knocked him clear.

A four-foot box, a foot for every year.",I sat all morning in the college sick bayCounting bells knelling classes to a close. At two o'clock our neighbours drove me home. I met my father crying. He had always taken funerals in his stride. Big Jim Evans said it was a hard blow.,"'Mid-Term Break' by Seamus Heaney describes the emotional turmoil experienced by a speaker who has lost a loved one in a traumatic way. The poem begins with the speaker stating that he is being quarantined within a “sick bay” of his college. It is here he waited for his neighbours to come and pick him up and take him home. The boy has suffered a loss, one which does not become clear until the final line of the poem. He travels home and is met by his suffering family. His father is crying, and his mother is unable to even speak. There are many strangers around attempting to sympathize with the family, but their efforts appear awkward and are often unwanted. The body arrives via ambulance the next day and the boy takes a look at it when he is alone one morning. There are no great injuries that he can see but he knows this is due to the fact that this person was thrown by the bumper of a car. The final line states that the coffin will only be four feet long, the same length as the child's age, making clear to the reader that the speaker has lost his young brother in a terrible accident."
266,"There was a man lived in the moon, lived in the moon, lived in the moon,

There was a man lived in the moon,
And his name was Aiken Drum.

And he played upon a ladle, a ladle, a ladle,
And he played upon a ladle,
and his name was Aiken Drum.

And his hat was made of good cream cheese, of good cream cheese, of good cream cheese,
And his hat was made of good cream cheese,
And his name was Aiken Drum.

And his coat was made of good roast beef, of good roast beef, of good roast beef,
And his coat was made of good roast beef,
And his name was Aiken Drum.

And his buttons made of penny loaves, of penny loaves, of penny loaves,
And his buttons made of penny loaves,
And his name was Aiken Drum.

And his waistcoat was made of crust pies, of crust pies, of crust pies,
And his waistcoat was made of crust pies,
And his name was Aiken Drum.

And his breeches made of haggis bags, of haggis bags, of haggis bags,
And his breeches made of haggis bags,
And his name was Aiken Drum.",There was a man who lived in the moon. His name was Aiken Drum. His coat was made of good roast beef. His buttons were made of penny loaves. His breeches made of haggis bags. And his waistcoat was. made of crust pies.,"'Aiken Drum' is an entertaining Scottish folksong. It describes Aiken Drum, a man whose clothes are made out of different foods. The poem starts with the speaker noting that Drum lives on the moon. He goes on to depict his clothes as made out of everything from haggis to penny loaves, roast beef, and crust pies. The speaker also notes that Aiken plays a ladle. All of this is described through a great deal of repetition with parallelism being used throughout."
267,"For the first time, I listen to a lost
and secret recording of us
making love near-on ten years ago.

I recognize your voice, your sounds,
though if I knew no better,
I could be any man in any room.

After, the rising sounds of rising
and of dressing and once
as you step up close to the deck,

perhaps to pick up shoes, you sing
the chorus of Sunday Morning.
I call on you to hurry and we leave.

It does not end then; the tape rolls on.
A few late cars which sigh by
might have passed us walking away

triumphant, unaware we’ve left behind
this mop and mow mechanism
of silence to which we may never return.","For the first time, I listen to a recording of us making love. It's the first of many recordings we'll make together. We'll make many more, I'm sure. It'll be a long time before we see each other again. But we'll be together again.","In this piece, the speaker is listening to a lost recording of him and his lover making love. While listening to the tape, he clearly values his lover and pays specific attention to any utterances that she makes. The things that he does or says carries little importance to him. The focus is placed on her and the way she expressed herself during their union. He listens to the entire tape, even the seemingly insignificant parts which shows how much delights in the flashback. He draws attention to the slightest details including the sounds the cars made as the drove by on the way home."
268,"You do not have to be good.
You do not have to walk on your knees
for a hundred miles through the desert repenting.
You only have to let the soft animal of your body
love what it loves.
Tell me about despair, yours, and I will tell you mine.
Meanwhile the world goes on.
Meanwhile the sun and the clear pebbles of the rain
are moving across the landscapes,
over the prairies and the deep trees,
the mountains and the rivers.
Meanwhile the wild geese, high in the clean blue air,
are heading home again.
Whoever you are, no matter how lonely,
the world offers itself to your imagination,
calls to you like the wild geese, harsh and exciting -
over and over announcing your place
in the family of things.","Tell me about despair, yours, and I will tell you mine. You do not have to be good. You only have to let the soft animal of your body love what it loves. The world offers itself to your imagination, harsh and exciting - announcing your place in the family of things.","In short, 'Wild Geese' is a poem, written by Mary Oliver, that expresses what one must do in order to lead a good life. The speaker, presumably Oliver, is talking directly to her reader, imploring them to not worry so much about being good; rather, the reader should be true to nature and the beauty found in it. Throughout the poem, Oliver uses the word “you” to speak to the reader, which lends an intimate, almost urgent air about the work. Throughout, she uses the image of a flock of wild geese. "
269,"Just as I was dashing to catch the Dublin- Cork train
Dashing up and down the stairs, searching my pockets,
She told me that her sister in Cork wanted a loan of the axe;
It was late June and
The buddleia tree in the backyard
Had grown out of control.
The taxi was ticking over outside in the street,
All the neighbours noticing it.
‘You mean that you want me to bring her down the axe?’
‘Yes, if you wouldn’t mind, that is –‘
‘A simple saw would do the job, surely to God
She could borrow a simple saw.’
‘She said she’d like the axe.’
‘OK.’ There is a Blue Cabs taxi ticking over outside
And the whole world inspecting it,
‘I’ll bring her down the axe.’
The axe – all four-and-a-half feet of it –
Was leaning up against the wall behind the settee –
The fold-up settee that doubles as a bed.
She handed the axe to me just as it was,
As neat as a newborn babe,
All in the bare buff.
You’d think she’d have swaddled it up
In something – if not a blanket, an old newspaper,
But no, not even a token hanky","Just as I was dashing to catch the Dublin- Cork train, she told me that her sister in Cork wanted a loan of the axe. The axe – all four-and-a-half feet of it – was leaning up against the wall behind the settee that doubles as a bed. She handed the axe to me just as it was, all in the bare buff.","'Father's Day, 21 June 1992' by Paul Durcan is a simple poem that speaks on the rocky relationship between a married couple. The poem takes the reader into the troubled marriage between a man and a woman. The man is about to leave for Cork when his wife asks him to carry an axe on the train with him. This tool should be delivered to her sister. He has no desire to take the axe with him and thinks the request is absurd, but he does give in. As he rides, passengers move away from him and he's left to consider the state of his marriage and what is left for them after the green fields have left them behind."
270,"Chestnuts fell in the charred season,
Fell finally, finding room
In air to open their old cases
So they gleam out from the gold leaves,
In the dusk now, where they dropped down.

I go watch them, waiting for winter,
Their husks open and holding on.
Those rusted rims are rigid=hard
And cling clean to the clear brown,

And the fall sun sinks soon,
And the day draws to its dark end,
.and the feet give up the gray walk,
no longer lingering, light gone,
and I am here and do not go home.

Hollow gifts to cold children:
The chestnuts they hid in small caches
Have gone hollow, their gleam gone,
Their grain gone, and the children are home.","Chestnuts fell in the charred season, and fell finally, finding room to open their old cases. The chestnuts have gone hollow, their gleam gone, their grain gone, and the children are home. ""I am here and do not go home,"" the author writes.","'Another Reluctance' by Annie Finch is a thoughtful poem about an experience with chestnuts during a speaker's youth. The first lines describe the chestnuts falling and sitting among the golden leaves on a fall day. This is something the speaker has been waiting a long time for, but, as it turns out, it's still impossible to get to them. The “cases” won't open, and the speaker and other children find themselves disappointed. They try and stay and wait, and eventually, the speaker is the only one there when everyone else has gone home. They're reluctant to leave, holding out hope that something is going to change despite the fact that the fall is over and winter is setting in."
271,"Always as if for the first time, we watch
the fireworks as if no-one had ever
done this before, made shapes, signs
cut diamonds on air, sent up stars
nameless, imperious. And in the falling
of fire, the spent rocket, there is a kind
of nostalgia, as normally only attaches
to things long known and lost. Such an absence
such emptiness of sky the fireworks leave
after their festival. We, fumbling
for words of love, remember the rockets
the spinning wheels, the sudden diamonds
and say with delight “Yes, like that, like that”
Oh and the air is full of falling
stars surrendered. We search for a sign.","Always as if for the first time, we watch the fireworks as if no-one had ever done this before. And in the falling of fire, the spent rocket, there is a kind of nostalgia, as normally only attaches to things long known and lost. We, fumbling for words of love, remember the rockets, the spinning wheels, the sudden diamonds.","Language and Imagery When it comes to the use of language and imagery, there are several types of images and vocabulary that the poet uses to describe the human feelings. Reading through the poem, you will come across images connected with fireworks, such as: “shapes”, “stars”, “diamonds”, and “rockets”. In addition, the poet also uses enjambment so that a quick pace and fast rhythm can be created in the poem. The poet makes use of this poetic device taking into account the theme of fireworks and its deeper meaning of euphoria and temporary excitement and. Moreover, the poet has cleverly used the word “falling” at the end of the fifth and second last lines, “of fire” and “stars”. The use of both these words in the poem indicates the physical act of falling. In fact, they are paradoxical, as fire and stars usually don't come down rather by nature they rise. Thus, all through the poem, you will poet making very clever use of language techniques to take ahead its theme."
272,"I hear America singing, the varied carols I hear,
Those of mechanics, each one singing his as it should be blithe and strong,
The carpenter singing his as he measures his plank or beam,
The mason singing his as he makes ready for work, or leaves off work,
The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck,
The shoemaker singing as he sits on his bench, the hatter singing as he stands,
The wood-cutter’s song, the ploughboy’s on his way in the morning, or at noon intermission or at sundown,
The delicious singing of the mother, or of the young wife at work, or of the girl sewing or washing,
Each singing what belongs to him or her and to none else,
The day what belongs to the day—at night the party of young fellows, robust, friendly,
Singing with open mouths their strong melodious songs.","I hear America singing, the varied carols I hear, I hear those of mechanics, each one singing his as it should be blithe and strong. The boatman singing what belongs to him in his boat, the deckhand singing on the steamboat deck, the shoemaker singing as he sits on his bench. The wood-cutter’s song, the ploughboy's on his way in the morning, or at noon intermission or at sundown, the delicious singing of the mother.","Poetic Form Walt Whitman was an experimental poet, toying with forms of poetry. He is also known as the father of free verse poetry. He deemed himself above rigors of rhyme and meter since Whitman used free verses freely. However, his poetry is not a bunch of non-rhyming lines as 'I Hear America Singing' is a decent, tightly moderated poem. The poem is a listing of manual workers, their work content, and singing along the way. The carpenter singing his as he measures his plank or beamThe mason singing his as he makes ready for work, or leaves off workThe boatman singing what belongs to him in his boat, the deck-hand singing on the steamboat deck As is the case, Walt Whitman's poems tend to get lengthy as they progress, whereas they are tightly managed in the beginning. This phenomenon is called anaphora as repetition keeps recurring. It is the polar opposite of traditional poetry norms where verses are controlled tightly in order to maintain the rhyming sequence. In the case of Walt Whitman, he aspired to seek freedom of self-exploration and discovery, rising above conventional forms like a true American."
